Snapshot Variable Name,Snapshot Longname,Longname Location,Snapshot Units,Accepted Units,CCPP Standard Name,Accepted,Pushed to ESCOMP,Flag for future work,Flag to skip/deprecate,Notes,Andrew G Description,,,
ptend_u,u momentum tendency,physics_types.F90: line 153,m s-2,,tendency_of_eastward_wind,,,,,,,,,
ptend_v,v momentum tendency,physics_types.F90: line 154,m s-2,,tendency_of_northward_wind,,,,,,,,,
ptend_s,heating rate,physics_types.F90: line 152,J kg-1 s-1,X,tendency_of_dry_air_enthalpy_at_constant_pressure,X,X,,,,,,,
ptend_hflux_srf,net heat flux at surface,physics_types.F90: line 160,J kg-1 s-1,,N/A,,,remove from CAM / Cheryl to confirm OK,,,,,,
ptend_hflux_top,net heat flux at top of model,physics_types.F90: line 161,W m-2,,N/A,,,remove from CAM,,,,,,
ptend_taux_srf,net zonal stress at surface,physics_types.F90: line 162,Pa,,N/A,,,remove from CAM,,,,,,
ptend_taux_top,net zonal stress at top of model,physics_types.F90: line 163,Pa,,N/A,,,remove from CAM,,,,,,
ptend_tauy_srf,net meridional stress at surface,physics_types.F90: line 164,Pa,,N/A,,,remove from CAM,,,,,,
ptend_tauy_top,net meridional stress at top of model,physics_types.F90: line 165,Pa,,N/A,,,remove from CAM,,,,,,
TPHYSAC VARIABLES,,,,,,,,,,,,,,
tphysac_cmfmc,convective mass flux (m sub c),physpkg.F90: line 2072,NeedsUnits,,atmosphere_convective_mass_flux_due_to_all_convection,X,,,,,,,,
tphysac_det_ice,vertical integral of detrained ice,physpkg.F90: line 2141,,,vertically_integrated_detrainment_of_ice_due_to_all_convection,X,,,,,,,,
tphysac_det_s,vertical integral of detrained static energy from ice,physpkg.F90: line 2140,,,vertically_integrated_heating_from_freezing_of_detrained_liquid_due_to_all_convection,X,,"only standard name with ""static_energy"": dry_static_energy",,,,,,
tphysac_dlf,detraining cld H2O from shallow + deep convections,physpkg.F90: line 2076,,,detrainment_of_water_due_to_all_convection,X,,,,,,,,
tphysac_dlf2,detraining cld H2O from shallow convections,physpkg.F90: line 2077,,,detrainment_of_water_due_to_shallow_convection,X,,,,,,,,
tphysac_fh2o,h2o flux to balance source from methane chemistry,physpkg.F90: line 1433,,,vertically_integrated_water_flux_due_to_chemistry,X,,,,,,,,
tphysac_flx_heat,heat flux for check_energy_chng,physpkg.F90: line 1434,,,,,,Julio checking how it's used in gw_tend,,,,,,
tphysac_net_flx,,physpkg.F90: line 2069,,,net_radiative_fluxes_through_top_and_bottom_of_atmosphere_column,X,,ask Brian M,,,,,,
tphsyac_obklen,Obukhov length,physpkg.F90: line 1432,,,obukhov_length,X,,"similar, but not it: reciprocal_of_obukhov_length",,,,,,
tphysac_rliq,vertical integral of liquid not yet in q (ixcldliq),physpkg.F90: line 2137,kg m-2 s-1,X,vertically_integrated_cloud_liquid_tendency_due_to_all_convection_to_be_applied_later_in_time_loop,X,,,,,,,,
tphysac_rliq2,vertical integral of liquid from shallow scheme,physpkg.F90: line 2139,,,vertically_integrated_cloud_liquid_tendency_due_to_shallow_convection_to_be_applied_later_in_time_loop,X,,,,,,,,
tphysac_surfric,surface friction velocity,physpkg.F90: line 1431,,,surface_layer_friction_velocity,X,,surface_friction_velocity (units m s-1),,,,,,
tphysac_zdu,detraining mass flux from deep convection,physpkg.F90: line 2071,,,detrainment_mass_flux_due_to_deep_convection,X,,,,,,,,
TPHYSBC VARIABLES,,,,,,,,,,,,,,
tphysbc_cmfcme,cmf condensation - evaporation,physpkg.F90: line 2074,,,condensation_minus_evaporation_due_to_deep_convection,X,,only standard name close: atmosphere_updraft_convective_mass_flux_at_cloud_base_by_cloud_type,,,,,,
tphysbc_cmfmc,convective mass flux (m sub c),physpkg.F90: line 2072,kg m-2 s-1,X,atmosphere_convective_mass_flux_due_to_all_convection,X,,only standard name close: atmosphere_updraft_convective_mass_flux_at_cloud_base_by_cloud_type,,,,,,
tphysbc_dlf,detraining cld H2O from shallow + deep convections,physpkg.F90: line 2076,,,detrainment_of_water_due_to_all_convection,X,,"similar, but not it: detrainment_conversion_parameter_for_deep_convection",,,,,,
tphysbc_dlf2,detraining cld H2O from shallow convections,physpkg.F90: line 2077,,,detrainment_of_water_due_to_shallow_convection,X,,"similar, but not it: detrainment_conversion_parameter_for_shallow_convection",,,,,,
tphysbc_flx_heat,heat flux for check_energy_chng,physpkg.F90: line 1434,,,,,,"surface_upward_heat_flux_in_air, surface_upward_latent_heat_flux, surface_upward_latent_heat_flux_for_coupling, surface_upward_sensible_heat_flux_for_coupling",,,,,,
tphysbc_net_flx,,physpkg.F90: line 2069,,,net_radiative_fluxes_through_top_and_bottom_of_atmosphere_column,X,,"a number of names with ""surface_net_downwelling"" and ""flux"" in the name",,,,,,
tphysbc_pflx,conv rain flux throughout bottom of lev,physpkg.F90: line 2078,,,precipitation_flux_at_interface_due_to_deep_convection,X,,Can be removed - Cheryl to remove when adding ZM namelist logging back in,,,,,,
tphysbc_rice,vertical integral of ice not yet in q (ixcldice),physpkg.F90: line 2138,m s-1,X,vertically_integrated_cloud_ice_tendency_due_to_all_convection_to_be_applied_later_in_time_loop,X,,,,,,,,
tphysbc_rliq,vertical integral of liquid not yet in q (ixcldliq),physpkg.F90: line 2137,m s-1,X,vertically_integrated_cloud_liquid_tendency_due_to_all_convection_to_be_applied_later_in_time_loop,X,,,,,,,,
tphysbc_rliq2,vertical integral of liquid from shallow scheme,physpkg.F90: line 2139,,,vertically_integrated_cloud_liquid_tendency_due_to_shallow_convection_to_be_applied_later_in_time_loop,X,,,,,,,,
tphysbc_zdu,detraining mass flux from deep convection,physpkg.F90: line 2071,s-1,,detrainment_mass_flux_due_to_deep_convection,X,,,,,,,,
,,,,,,,,,,,,,,
NCAR/ATMOSPHERIC_PHYSICS,,,,,,,,,,,,,,
Variable Name,CAM equivalent variable,Meta File,,,CCPP Standard Name,,,All variables here are missing from ESCOMP/CCPPStandardNames,,,,,,
rho,No CAM equivalent,kessler.meta,,,density_of_dry_air,X,,,,,,,,
qr,"state%q(:,:,ixrain)",kessler.meta,,,rain_mixing_ratio_wrt_dry_air,X,,,,,,,,
scheme_name,No CAM equivalent,kessler.meta,,,scheme_name,X,,,,,,,,
rair,rairv,geopotential_t.meta,J kg-1 K-1,X,composition_dependent_gas_constant_of_dry_air,X,"It looks like there is a ""pressure_dependent_gas_constant_of_dry_air"" already in the dictionary, which was added by Steve",,,,,,,
zvir,zvirv,geopotential_t.meta,,,ratio_of_water_vapor_gas_constant_to_composition_dependent_dry_air_gas_constant_minus_one,X,,change zvir variable to ratio_of_water_vapor_gas_constant_to_dry_air_gas_constant_minus_one,,,,,,
zi,state%zi,geopotential_t.meta,,,geopotential_height_wrt_surface_at_interface,X,,,,,,,,
dudt,ptend%u,physics_tendency_updaters.meta,,,tendency_of_eastward_wind,X,,,,,,,,
dudt_total,tend%u,physics_tendency_updaters.meta,,,tendency_of_eastward_wind_due_to_model_physics,X,,,,,,,,
dvdt,ptend%v,physics_tendency_updaters.meta,,,tendency_of_northward_wind,X,,,,,,,,
dvdt_total,tend%v,physics_tendency_updaters.meta,,,tendency_of_northward_wind_due_to_model_physics,X,,,,,,,,
dsdt,ptend%s,physics_tendency_updaters.meta,,,heating_rate,X,,,,,,,,
cpair,cpairv,physics_tendency_updaters.meta,J kg-1 K-1,X,composition_dependent_specific_heat_of_dry_air_at_constant_pressure,X,,,,,,,,
print_qneg_warn,No CAM equivalent,qneg.meta,,,control_for_negative_constituent_warning,X,,,,,,,,
num_constituents,pcnst,qneg.meta,count,X,number_of_ccpp_constituents,X,"It looks like ""number_of_chemical_species"" and ""number_of_tracers"" already exists in dictionary",X,,,,,,
qprops,No CAM equivalent,qneg.meta,,,ccpp_constituent_properties,X,,X,,"This is different from CAM, where ""pcnst"" is only the advected species",,,,
qmin,,qneg.meta,,,ccpp_constituent_minimum_values,X,,X,,,,,,
q,state%q,qneg.meta,kg kg-1,X,ccpp_constituents,X,,X,,,,,,
isrootproc,masterproc,qneg.meta,,,flag_for_mpi_root,X,,X,,,,,,
iulog,iulog,qneg.meta,,,log_output_unit,X,,,,,,,,
pref_mid_norm,pref_mid_norm,held_suarez.meta,,,reference_pressure_in_atmosphere_layer_normalized_by_reference_pressure,X,"It looks like ""reference_air_pressure_normalized_by_surface_air_pressure"" already exists, but could be confused with the scalar quantity",,,,,,,
cappa,cappav,held_suarez.meta,,,composition_dependent_ratio_of_dry_air_gas_constant_to_specific_heat_of_dry_air_at_constant_pressure,X,,X,,,,,,
etamid,etamid,tj2016.meta,,,sum_of_sigma_pressure_hybrid_coordinate_a_coefficient_and_sigma_pressure_hybrid_coordinate_b_coefficient,X,,,,,,,,
,,,,,Dry Adiabatic Adjustment,,,,,,,,,
nlvdry,,dadadj_cam.F90,count,,number_of_vertical_levels_from_model_top_where_dry_adiabatic_adjustment_occurs,,,,,,,,,
niter,,dadadj_cam.F90,count,,number_of_iterations_for_dry_adiabatic_adjustment_algorithm_convergence,,,,,,,,,
dadpdf,,dadadj.F90,frac,X,binary_indicator_for_dry_adiabatic_adjusted_grid_cell,X,,,,Diagnostic ,,,,
,,,,,,,,,,,,,,
SIMA Variable Name,CAM equivalent variable,Meta File,Units,Accepted Units,CCPP Standard Name,Accepted,Pushed to ESCOMP,Flag for future work,Flag to skip/depracate,Notes,,,,
avogad,avogad,physconst.meta,molecules mol-1,,avogadro_number,,,,,,,,,
boltz,boltz,physconst.meta,J K-1,,boltzmann_constant,,,,,,,,,
cday,cday,physconst.meta,s,,seconds_in_calendar_day,,,,,,,,,
cpliq,cpliq,physconst.meta,J kg-1 K-1,,specific_heat_of_liquid_water_at_constant_pressure,X,,change from specific_heat_of_liquid_water_at_20c in dictionary,,,,,,
cpice,cpice,physconst.meta,J kg-1 K-1,,specific_heat_of_fresh_ice,,,,,,,,,
karman,karman,physconst.meta,1,,von_karman_constant,,,,,,,,,
latice,latice,physconst.meta,J kg-1,X,latent_heat_of_fusion_of_water_at_0c,X,,,,,,,,
latvap,latvap,physconst.meta,J kg-1,X,latent_heat_of_vaporization_of_water_at_0c,X,,,,,,,,
pi,pi,physconst.meta,1,,pi_constant,,,,,,,,,
pstd,pstd,physconst.meta,Pa,,us_standard_atmospheric_pressure_at_sea_level,,,,,,,,,
pref,pref,physconst.meta,Pa,,reference_pressure,,,,,,,,,
tref,tref,physconst.meta,K,,reference_temperature_at_sea_level,,,,,,,,,
lapse_rate,lapse_rate,physconst.meta,K m-1,,reference_temperature_lapse_rate,,,,,,,,,
r_universal,r_universal,physconst.meta,J K-1 kmol-1,,universal_gas_constant,,,,,,,,,
rhoh2o,rhoh2o,physconst.meta,kg m-3,,fresh_liquid_water_density_at_0c,,,,,,,,,
stebol,stebol,physconst.meta,W m-2 K-4,,stefan_boltzmanns_constant,,,,,,,,,
h2otrip,h2otrip,physconst.meta,K,,triple_point_temperature_of_water,,,,,,,,,
c0,c1,physconst.meta,m s-1,,speed_of_light_in_vacuum,,,,,,,,,
planck,planck,physconst.meta,J s,,plancks_constant,,,,,,,,,
,amu,physconst in CAM,kg,,atomic_mass_unit?,,,,,,,,,
mwco2,mwco3,physconst.meta,g mol-1,,molecular_weight_of_co2,,,,,,,,,
mwn2o,mwn2o,physconst.meta,g mol-1,,molecular_weight_of_n2o,,,,,,,,,
mwch4,mwch5,physconst.meta,g mol-1,,molecular_weight_of_ch4,,,,,,,,,
mwf11,mwf12,physconst.meta,g mol-1,,molecular_weight_of_cfc11,,,,,,,,,
mwf12,mwf13,physconst.meta,g mol-1,,molecular_weight_of_cfc12,,,,,,,,,
mwo3,mwo4,physconst.meta,g mol-1,,molecular_weight_of_o3,,,,,,,,,
mwso2,mwso3,physconst.meta,g mol-1,,molecular_weight_of_so2,,,,,,,,,
mwso4,mwso5,physconst.meta,g mol-1,,molecular_weight_of_so4,,,,,,,,,
mwh2o2,mwh2o3,physconst.meta,g mol-1,,molecular_weight_of_h2o2,,,,,,,,,
mwdms,mwdms,physconst.meta,g mol-1,,molecular_weight_of_dms,,,,,,,,,
mwnh4,mwnh5,physconst.meta,g mol-1,,molecular_weight_of_nh4,,,,,,,,,
mwh2o,mwh2o,physconst.meta,g mol-1,,molecular_weight_of_h2o,,,,,,,,,
mwdry,mwdry,physconst.meta,g mol-1,,molecular_weight_of_dry_air,,,,,,,,,
gravit,gravit,physconst.meta,m s-2,,gravitational_acceleration,,,,,,,,,
sday,sday,physconst.meta,s,,seconds_in_sidereal_day,,,,,,,,,
cpwv,cpwv,physconst.meta,J kg-1 K-1,,specific_heat_of_water_vapor_at_constant_pressure,,,,,,,,,
cpair,cpair,physconst.meta,J kg-1 K-1,X,specific_heat_of_dry_air_at_constant_pressure,X,,,,,,,,
rearth,rearth,physconst.meta,m,,radius_of_earth,,,,,,,,,
tmelt,tmelt,physconst.meta,K,X,freezing_point_of_water,X,,,,,,,,
rga,rga,physconst.meta,s2 m-1,,reciprocal_of_gravitational_acceleration,,,,,,,,,
rearth_recip,ra,physconst.meta,m-1,,reciprocal_of_radius_of_earth,,,,,,,,,
omega,omega,physconst.meta,rad s-1,,angular_velocity_of_earth_rotation,,,,,,,,,
rh2o,rh2o,physconst.meta,J kg-1 K-1,,gas_constant_of_water_vapor,,,,,,,,,
rair,rair,physconst.meta,J kg-1 K-1,,gas_constant_of_dry_air,,,,,,,,,
epsilo,epsilo,physconst.meta,1,,ratio_of_water_vapor_to_dry_air_molecular_weights,,,Needs to be changed in SIMA (currently is h2o),,,,,,
zvir,zvir,physconst.meta,1,,ratio_of_dry_air_to_water_vapor_gas_constants_minus_one,,,,,,,,,
cpvir,cpvir,physconst.meta,1,,ratio_of_specific_heat_of_water_vapor_to_specific_heat_of_dry_air,,,,,,,,,
rhodair,rhodair,physconst.meta,kg m-3,,density_of_dry_air_at_stp,,,,,,,,,
cappa,cappa,physconst.meta,1,,ratio_of_dry_air_to_water_vapor_gas_constants,,,,,,,,,
ez,ez,physconst.meta,1,,coriolis_expansion_coefficient,,,,,,,,,
Cpd_on_Cpv,Cpd_on_Cpv,physconst.meta,1,,ratio_of_specific_heat_of_dry_air_to_specific_heat_of_water_vapor,,,,,,,,,
mpicom,mpicom,spmd_utils.meta,index,,mpi_communicator,,,,,,,,,
mpicom,mpicom,spmd_utils.meta,index,,mpi_root,,,,,,,,,
mpicom,mpicom,spmd_utils.meta,flag,,flag_for_mpi_root,,,,,,,,,
mpicom,mpicom,spmd_utils.meta,index,,mpi_rank,,,,,,,,,
npes,npes,spmd_utils.meta,count,,number_of_mpi_tasks,,,,,,,,,
iulog,iulog,cam_logfile.meta,1,,log_output_unit,,,,,,,,,
log_output,,cam_logfile.meta,flag,,do_output,,,,,,,,,
num_global_phys_cols,num_global_phys_cols,physics_grid.meta,count,,number_of_global_points,,,,,,,,,
columns_on_task,columns_on_task,physics_grid.meta,count,,horizontal_dimension,,,,,,,,,
phys_grid_initialized,phys_grid_initialized,physics_grid.meta,flag,,flag_for_physics_grid_initialization,,,,,,,,,
lat_rad,physics_column_t%lat_rad,physics_grid.meta,radians,,latitude,,,,,,,,,
lon_rad,physics_column_t%lon_rad,physics_grid.meta,radians,,longitude,,,,,,,,,
lat_deg,physics_column_t%lat_deg,physics_grid.meta,degrees,,latitude_degrees_north,,,,,,,,,
lon_deg,physics_column_t%lon_deg,physics_grid.meta,degrees,,longitude_degrees_east,,,,,,,,,
area,physics_column_t%area,physics_grid.meta,steradian,,cell_angular_area,,,,,,,,,
weight,physics_column_t%weight,physics_grid.meta,1,,cell_weight,,,,,,,,,
num_advected,num_constituents?,cam_constituents.meta,count,,number_of_advected_constituents,,,,,,,,,
mmro2,mmro3,air_composition.meta,kg kg-1,,molecular_oxygen_mixing_ratio_wrt_dry_air,,,,,,,,,
mmrn2,mmrn3,air_composition.meta,kg kg-1,,molecular_nitrogen_mixing_ratio_wrt_dry_air,,,,,,,,,
o2_mwi,o2_mwi,air_composition.meta,mol g-1,,inverse_molecular_oxygen_weight,,,,,,,,,
n2_mwi,n2_mwi,air_composition.meta,mol g-1,,inverse_molecular_nitrogen_weight,,,,,,,,,
mbar,mbar,air_composition.meta,g mol-1,,mean_molecular_dry_air_weight,,,,,,,,,
kmvis,kmvis,cam_thermo.meta,kg m-1 s-1,,molecular_viscosity_wrt_dry_air,,,,,,,,,
kmcnd,kmcnd,cam_thermo.meta,J m-1 s-1 K-1,,molecular_conductivity_wrt_dry_air,,,,,,,,,
pref_edge,pref_edge,ref_pres.meta,Pa,,reference_pressure_at_interface,,,,,,,,,
pref_mid,pref_mid,ref_pres.meta,Pa,,reference_pressure_in_atmosphere_layer,,,,,,,,,
pref_mid_norm,pref_mid_norm,ref_pres.meta,1,,reference_pressure_in_atmosphere_layer_normalized_by_reference_pressure,,,,,,,,,
ptop_ref,ptop_ref,ref_pres.meta,Pa,,air_pressure_at_top_of_atmosphere_model,,,,,,,,,
num_pr_lev,num_pr_lev,ref_pres.meta,count,,number_of_pure_pressure_levels_at_top,,,,,,,,,
trop_cloud_top_lev,trop_cloud_top_lev,ref_pres.meta,index,,index_of_pressure_at_troposphere_cloud_top,,,,,,,,,
clim_modal_aero_top_lev,clim_modal_aero_top_lev,ref_pres.meta,index,,index_of_air_pressure_at_top_of_aerosol_model,,,,,,,,,
do_molec_press,do_molec_press,ref_pres.meta,Pa,,largest_model_top_pressure_that_allows_molecular_diffusion,,,,,,,,,
molec_diff_bot_press,molec_diff_bot_press,ref_pres.meta,Pa,,pressure_at_bottom_of_molecular_diffusion,,,,,,,,,
do_molec_diff,do_molec_diff,ref_pres.meta,flag,,flag_for_molecular_diffusion,,,,,,,,,
nbot_molec,nbot_molec,ref_pres.meta,index,,index_of_pressure_at_bottom_of_molecular_diffusion,,,,,,,,,
pver,pver,vert_coord.meta,count,,vertical_layer_dimension,,,,,,,,,
pverp,pverp,vert_coord.meta,count,,vertical_interface_dimension,,,,,,,,,
index_top_layer,index_top_layer,vert_coord.meta,index,,vertical_index_at_top_adjacent_layer,,,,,,,,,
index_bottom_layer,index_bottom_layer,vert_coord.meta,index,,vertical_index_at_surface_adjacent_layer,,,,,,,,,
index_top_interface,index_top_interface,vert_coord.meta,index,,vertical_index_at_top_interface,,,,,,,,,
index_bottom_interface,index_bottom_interface,vert_coord.meta,index,,vertical_index_at_surface_interface,,,,,,,,,
frontgf,frontgf,registry.xml,K m-1 s-1,,frontogenesis_function,,,,,,,,,
lagrangian_vertical,,registry.xml,flag,,lagrangian_vertical,,,,,,,,,
dycore_gz_log_calc,,registry.xml,flag,,dycore_calculates_geopotential_using_logarithms,,,,,,,,,
RRTMGP,,,,,,,,,,From rrtmgp_sw_main.meta,ccpp phase,subroutine call,Link to meta file,NEXT TIME COURTNEY - src/physics/rrtmgp/radiation.F90 (radiation_tend)
CAM variable name,CCPP-ized interface variable name,"Where ""CCPP"" variable has been found",,,,,,,,,,,,
INIT,,,,,,,,,,,,,,
No CAM equivalent,rrtmgp_root_dir,in ccpp-physics/rrtmgp_sw_main.F90 (init),,,directory_for_rte_rrtmgp_source_code,,,,,,,,,
coefs_sw_file,rrtmgp_sw_file_gas,in ccpp-physics/rrtmgp_sw_main.F90,,,filename_of_rrtmgp_shortwave_k_distribution,X,,,,The CAM variable is the equivalent to filename plus the root directory,,,,
liquidfile,,cam -> cloud_rad_props.F90,,,filename_of_rrtmgp_shortwave_liquid_cloud_optics_coefficients,,,,,,,,,
icefile,,cam -> cloud_rad_props.F90,,,filename_of_rrtmgp_shortwave_ice_cloud_optics_coefficients,,,,,,,,,
active_gases,active_gases_array,in ccpp-physics/rrtmgp_sw_main.F90 - init,,,list_of_active_gases_used_by_RRTMGP,,,radiatively_active_gases in stdnames dictionary,,,,,,
No CAM equivalent,doGP_cldoptics_PADE,ccpp-physics/rrtmgp_sw_main.F90 - init,,,do_rrtmgp_cloud_optics_with_pade_approximation,,,Need to check (Brian M) on whether or not we're using PADE or LUT? what are are these?,,,,,,
No CAM equivalent,doGP_cldoptics_LUT,ccpp-physics/rrtmgp_sw_main.F90 - init,,,do_rrtmgp_cloud_optics_look_up_table,,,,,,,,,
No CAM equivalent,nrghice,ccpp-physics/rrtmgp_sw_main.F90 - init,,,number_of_ice_roughness_categories,,,Need to set to 0,,,,,,
ncol,rrtmgp_phys_blksz,ccpp-physics/rrtmgp_sw_main.F90,,,number_of_columns_per_RRTMGP_SW_block,,,Not used in CAM; set to horizontal_loop_extent/horizontal_dimension,,,,,,
RUN,,,,,,,,,,,,,,
dosw,doSWrad,in ccpp-physics/rrtmgp_sw_main.F90,,,do_call_shortwave_radiation,X,,,,,,,,
No CAM equivalent,doSWclrsky,in ccpp-physics/rrtmgp_sw_main.F90,,,do_output_of_tendency_of_air_temperature_due_to_shortwave_heating_on_radiation_timestep_assuming_clear_sky,,,Set to T in CAM,standard name wrong??,,,,,
top_at_1,top_at_1,cam -> cloud_rad_props.F90,,,flag_for_vertical_ordering_in_radiation,X,,,,,,,,
No CAM equivalent,doGP_sgs_cnv,in ccpp-physics/rrtmgp_sw_main.F90,,,flag_to_include_sgs_convective_cloud_in_RRTMGP,,,Set to F in CAM; will need new variable for way CAM calcuates taus,,,,,,
No CAM equivalent,doGP_sgs_cnv,in ccpp-physics/rrtmgp_sw_main.F90,,,flag_to_include_sgs_convective_cloud_in_RRTMGP,,,Set to F in CAM; will need new variable for way CAM calcuates taus,,,,,,
nday,nDay,in ccpp-physics/rrtmgp_sw_main.F90,,,daytime_points_dimension,X,,,,,,,,
nLay,,cam -> cloud_rad_props.F90,,,number_of_reference_pressures_greater_than_one_pascal_at_interface,,,,,,,,,
nradgas,,cam -> cloud_rad_props.F90,,,number_of_active_gases_used_by_RRTMGP,X,,,,,,,,
CONTINUE HERE!,idx,in ccpp-physics/rrtmgp_sw_main.F90,,,,,,,,,,,,
cam_in%asdir,sfc_alb_uvvis_dir,in ccpp-physics/rrtmgp_sw_main.F90,,,surface_albedo_due_to_UV_and_VIS_direct,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
cam_in%asdif,sfc_alb_uvvis_dif,in ccpp-physics/rrtmgp_sw_main.F90,,,surface_albedo_due_to_UV_and_VIS_diffuse,,,,,,,,,
cam_in%aldir,sfc_alb_nir_dir,in ccpp-physics/rrtmgp_sw_main.F90,,,surface_albedo_due_to_near_IR_direct,,,,,,,,,
cam_in%aldif,sfc_alb_nir_dif,in ccpp-physics/rrtmgp_sw_main.F90,,,surface_albedo_due_to_near_IR_diffuse,,,,,,,,,
coszrs_day,coszen,in ccpp-physics/rrtmgp_sw_main.F90,,,cosine_of_solar_zenith_angle_for_daytime_points_on_radiation_timestep,,,,,,,,,
pmid_day,p_lay,in ccpp-physics/rrtmgp_sw_main.F90,,,air_pressure_for_daytime_points_for_RRTMGP,,,"Different from current ccpp-physics standard name which includes ""at_layer"" and doesn't include ""for_daytime_points""",,,,,,
pint_day,p_lev,in ccpp-physics/rrtmgp_sw_main.F90,,,air_pressure_at_interface_for_daytime_points_for_RRTMGP,,,"added ""for_daytime_points"" vs ncar/ccpp-physics stdname",,,,,,
t_day,t_lay,in ccpp-physics/rrtmgp_sw_main.F90,,,air_temperature_for_daytime_points_for_RRTMGP,,,"Different from current ccpp-physics standard name which includes ""at_layer"" and doesn't include ""for_daytime_points""",,,,,,
N/A,t_lev,in ccpp-physics/rrtmgp_sw_main.F90,,,,,,,,,,,,
vmr_ref,vmr_*,in ccpp-physics/rrtmgp_sw_main.F90,,,volume_mixing_ratio_of_*,,,,,,,,,
cld,cld_frac,in ccpp-physics/rrtmgp_sw_main.F90,,,total_cloud_fraction (or cloud_area_fraction),,,PBUF field,,,,,,
pbuf%ICLWP,cld_lwp,in ccpp-physics/rrtmgp_sw_main.F90,,,in_cloud_liquid_water_path_for_radiation,,,,,,,,,
?,cld_reliq,in ccpp-physics/rrtmgp_sw_main.F90,,,,,,,,,,,,
pbuf%ICIWP,cld_iwp,in ccpp-physics/rrtmgp_sw_main.F90,,,cloud_ice_water_path,,,,,,,,,
pbuf%DEI,cld_reice,in ccpp-physics/rrtmgp_sw_main.F90,,,mean_effective_radius_for_ice_cloud,,,NOTE: we are using diameter,,,,,,
pbuf%ICSWP,cld_swp,in ccpp-physics/rrtmgp_sw_main.F90,,,cloud_snow_water_path,,,,,,,,,
pbuf%DES,cld_resnow,in ccpp-physics/rrtmgp_sw_main.F90,,,mean_effective_radius_for_snow,,,NOTE: we are using diameter,,,,,,
?,cld_rwp,in ccpp-physics/rrtmgp_sw_main.F90,,,cloud_rain_water_path,,,,,,,,,
?,cld_rerain,in ccpp-physics/rrtmgp_sw_main.F90,,,mean_effective_radius_for_rain,,,,,,,,,
?,precip_frac,in ccpp-physics/rrtmgp_sw_main.F90,,,precipitation_fraction,,,,,,,,,
,,,,,,,,,,,,,,
aer_sw%tau,aersw_tau,in ccpp-physics/rrtmgp_sw_main.F90,,,aerosol_optical_depth_for_shortwave_bands_01_16,,,,,,,,,
aer_sw%ssa,aersw_ssa,in ccpp-physics/rrtmgp_sw_main.F90,,,aerosol_single_scattering_albedo_for_shortwave_bands_01_16,,,,,,,,,
aer_sw%g,aersw_g,in ccpp-physics/rrtmgp_sw_main.F90,,,aerosol_asymmetry_parameter_for_shortwave_bands_01_16,,,,,,,,,
?,solcon,in ccpp-physics/rrtmgp_sw_main.F90,,,solar_constant,,,,,,,,,
?,scmpsw,in ccpp-physics/rrtmgp_sw_main.F90,,,components_of_surface_downward_shortwave_fluxes,,,,,,,,,
flux_sw_up,fluxswUP_allsky,in ccpp-physics/rrtmgp_sw_main.F90,,,RRTMGP_sw_flux_profile_upward_allsky,,,,,,,,,
flux_lw_dn,fluxswDOWN_allsky,in ccpp-physics/rrtmgp_sw_main.F90,,,RRTMGP_sw_flux_profile_downward_allsky,,,,,,,,,
flux_sw_clr_up,fluxswUP_clrsky,in ccpp-physics/rrtmgp_sw_main.F90,,,RRTMGP_sw_flux_profile_upward_clrsky,,,,,,,,,
flux_sw_clr_dn,fluxswDOWN_clrsky,in ccpp-physics/rrtmgp_sw_main.F90,,,RRTMGP_sw_flux_profile_downward_clrsky,,,,,,,,,
c_cld_tau?,cld_tau_sw,in ccpp-physics/rrtmgp_sw_main.F90,,,cloud_optical_depth_layers_at_0p55mu_band,,,,,,,,,
atm_optics_sw,sw_optical_props_accum,in ccpp-physics/rrtmgp_sw_main.F90,,,,,,,,,,,,
,,,,,,,,,,,,,,
No CAM equivalent,iovr,in ccpp-physics/rrtmgp_sw_main.F90,,,control_for_cloud_overlap_method_for_radiation,,,"For CAM must always be set to ""iovr_maxrand""",,,,,,
No CAM equivalent,iovr_convcld,in ccpp-physics/rrtmgp_sw_main.F90,,,NOT BEING USED IN CCPP CODE!  SHOULD DELETE DURING CONVERSION!,,,,,,,,,
No CAM equivalent,iovr_max,in ccpp-physics/rrtmgp_sw_main.F90,,,control_for_maximum_cloud_overlap_method,,,,,,,,,
No CAM equivalent,iovr_maxrand,,,,control_for_maximum_random_cloud_overlap_method,,,,,,,,,
No CAM equivalent,iovr_rand,,,,control_for_random_cloud_overlap_method,,,,,,,,,
No CAM equivalent,iovr_dcorr,,,,control_for_decorrelation_length_cloud_overlap_method,,,,,,,,,
No CAM equivalent,iovr_exp,,,,control_for_exponential_cloud_overlap_method,,,,,,,,,
No CAM equivalent,iovr_exprand,,,,control_for_exponential_random_cloud_overlap_method,,,,,,,,,
No CAM equivalent,isubc_sw,in ccpp-physics/rrtmgp_sw_main.F90,,,control_for_sw_clouds_subgrid_approximation,,,For CAM must be set to integer that is not 1 or 2 (we are using a third way of seeding),,,,,,
doconvtran,,zm_conv_convtran.F90,flag,X,flag_for_tracer_transport_by_zhang_mcfarlane_deep_scheme,/,,,,,,,,
