Snapshot Variable Name,Snapshot Longname,Longname Location,Snapshot Units,Accepted Units,CCPP Standard Name,Accepted,Pushed to ESCOMP,Flag for future work,Flag to skip/deprecate,Notes,Andrew G Description,,,
cnst_SNOWQM,snow amount,micro_pumas_cam.F90: line 120,kg kg-1,X,snow_mixing_ratio_wrt_moist_air_and_condensed_water,,,snow_mixing_ratio_wrt_moist_air in repo,,,,,,
cnst_SO2,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_SOAG,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_bc_a1,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_bc_a4,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_dst_a1,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_dst_a2,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_dst_a3,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_ncl_a1,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_ncl_a2,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_ncl_a3,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_num_a1,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_num_a2,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_num_a3,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_num_a4,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_pom_a1,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_pom_a4,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_so4_a1,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_so4_a2,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_so4_a3,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_soa_a1,,,kg kg-1,,,,,,,units: ask chemists,,,,
cnst_soa_a2,,,kg kg-1,,,,,,,units: ask chemists,,,,
PBUF VARIABLES,,,,,,,,,,,,,,
pbuf_ACCRE_ENHAN,accretion enhancment factor,micro_pumas_cam.F90:  line 73,1,X,,,,,SKIP,vestigial - can remove; not in GSL meta file,relative variance?,MG interface meta file: https://github.com/NOAA-GSL/ccpp-physics/blob/gsl/develop/physics/m_micro.meta,,
pbuf_ACGCME,accumulated condensation,micro_pumas_cam.F90:  line 740,,,accumulated_condensation_minus_evaporation_due_to_microphysics,,,,,diagnostic; not in GSL meta file,,,,
pbuf_ACNUM,counter for accumulated # timesteps,micro_pumas_cam.F90: line 741,,,counter_for_accumulated_number_of_timesteps_of_nonzero_liquid_water_path,,,,,diagnostic; not in GSL meta file,,,,
pbuf_ACPRECL,accumulated precip,micro_pumas_cam.F90: line 739,,,accumulated_stratiform_precipitation_across_timesteps_with_nonzero_liquid_water_path,,,,,diagnostic; not in GSL meta file,,,,
pbuf_AIST,Ice stratiform cloud fraction,clubb_intr:F90: 1357,frac,,stratiform_cloud_ice_area_fraction,,,,,,,,,
pbuf_ALST,Liquid stratiform cloud fraction,clubb_intr:F90: 1356,frac,,stratiform_cloud_liquid_area_fraction,,,,,,,,,
pbuf_AST,Stratiform cloud fraction,clubb_intr.F90: 1355,frac,,stratiform_cloud_area_fraction,,,,,,,,,
pbuf_BERGSO,Conversion of cloud water to snow from bergeron,micro_pumas_cam.F90: line 977,,,mixing_ratio_wrt_to_moist_air_and_condensed_water_tendency_of_cloud_liquid_water_to_snow_due_to_vapor_deposition,,,,,diagnostic; not in GSL meta file,,,,
pbuf_CC_T,tlat: Microphysical tendencies for use in the macrophysics at the next time step,micro_pumas_cam.F90: line 2390,,,tendency_of_air_temperature_due_to_microphysics,,,,,MG tendency; not in GSL meta file,,,,
pbuf_CC_ni,niten: Microphysical tendencies for use in the macrophysics at the next time step,micro_pumas_cam.F90: line 2395,,,tendency_of_cloud_ice_number_concentration_due_to_microphysics,,,,,MG tendency; not in GSL meta file,,,,
pbuf_CC_nl,nlten: Microphysical tendencies for use in the macrophysics at the next time step,micro_pumas_cam.F90: line 2394,,,tendency_of_cloud_liquid_water_number_concentration_due_to_microphysics,,,,,MG tendency; not in GSL meta file,,,,
pbuf_CC_qi,qiten: Microphysical tendencies for use in the macrophysics at the next time step,micro_pumas_cam.F90: line 2392,,,tendency_of_cloud_ice_mixing_ratio_wrt_moist_air_and_condensed_water_due_to_microphysics,,,,,MG tendency; not in GSL meta file,,,,
pbuf_CC_ql,qcten: Microphysical tendencies for use in the macrophysics at the next time step,micro_pumas_cam.F90: line 2393,,,tendency_of_cloud_liquid_water_mixing_ratio_wrt_moist_air_and_condensed_water_due_to_microphysics,,,,,MG tendency; not in GSL meta file,,,,
pbuf_CC_qlst,"qcten/max(0.01_r8,alst_mic(:ncol,top_lev:pver)): Microphysical tendencies for use in the macrophysics at the next time step",micro_pumas_cam.F90: line 2396,,,tendency_of_incloud_cloud_liquid_water_mixing_ratio_wrt_moist_air_and_condensed_water_due_to_microphysics,,,,,MG tendency; not in GSL meta file,,,,
pbuf_CC_qv,qvlat: Microphysical tendencies for use in the macrophysics at the next time step,micro_pumas_cam.F90: line 2391,,,tendency_of_water_vapor_mixing_ratio_wrt_moist_air_and_condensed_water_due_to_microphysics,,,,,MG tendency; not in GSL meta file,,,,
pbuf_CFC11,,,,,,,,,,units: ask chemists,,,,
pbuf_CFC12,,,,,,,,,,units: ask chemists,,,,
pbuf_CH4,,,,,,,,,,units: ask chemists,,,,
pbuf_CLD,Total cloud fraction,micro_pumas_cam.F90: line 1604,frac,X,cloud_area_fraction,X,!,"""in_atmosphere_layer"" is implied - should be changed to ""cloud_area_fraction""",,,,,,
pbuf_CLDBOT,Vertical index of cloud base,convect_diagnostics.F90: line 85,index,X,vertical_index_at_cloud_base_for_all_convection,X,,,,,,,,
pbuf_CLDFGRAU,Cloud fraction for liquid+graupel,micro_pumas_cam.F90: line 1611,frac,X,liquid_plus_graupel_stratiform_cloud_area_fraction,X,,,,,,,,
pbuf_CLDFSNOW,Cloud fraction for liquid+snow,micro_pumas_cam.F90: line 1608,frac,X,liquid_plus_snow_stratiform_cloud_area_fraction,X,,,,,,,,
pbuf_CLDICEINI,"state%q(:ncol,:pver,ixcldice) from cnst_get_index('CLDICE')",physpkg.F90: line 2617,kg kg-1,X,cloud_ice_mixing_ratio_wrt_moist_air_before_physics,X,,,,,,,,
pbuf_CLDLIQINI,"state%q(:ncol,:pver,ixcldliq) from cnst_get_index('CLDLIQ')",physpkg.F90: line 2616,kg kg-1,X,cloud_liquid_water_mixing_ratio_wrt_moist_air_and_condensed_water_before_physics,X,,,,,,,,
pbuf_CLDO, Old cloud fraction,micro_pumas_cam.F90: line 1463,frac,X,cloud_area_fraction_on_previous_timestep,X,,,,,,,,
pbuf_CLDTOP,Vertical index of cloud top,convect_diagnostics: line 84,index,X,vertical_index_at_cloud_top_for_all_convection,X,,,,,,,,
pbuf_CLOUD_FRAC, Cloud fraction (thermodynamic levels),clubb_intr.F90: line 2175,frac,X,stratiform_cloud_area_fraction_due_to_clubb,X,,,,,,,,
pbuf_CMELIQ,Rate of cond-evap of liq within the cloud,clubb_intr.F90: line 1623,kg kg-1 s-1,X,stratiform_cloud_condensation_minus_evaporation,X,,,,,,,,
pbuf_CMFMC_DP,Convection mass flux from ZM deep,zm_conv_intr.F90: line 301,kg m-2 s-1,X,atmosphere_convective_mass_flux_due_to_deep_convection,X,,,,,,,,
pbuf_CMFMC_SH,Shallow convective mass flux,macrop_driver.F90: line 481,kg m-2 s-1,X,atmosphere_convective_mass_flux_due_to_shallow_convection,X,,,,,,,,
pbuf_CO2,,,,,,,,,,units: ask chemists,,,,
pbuf_CONCLD,Convective cloud cover,clubb_intr.F90: line 1622,frac,X,convective_cloud_area_fraction,X,X,,,,,,,
pbuf_CV_REFFICE,convective cloud ice effective radius,cam_dev/micro_pumas_cam.F90: line 1127,micron,,,,,,,cosp thing; not in GSL meta file,,,,
pbuf_CV_REFFLIQ,convective cloud liq effective radius,cam_dev/micro_pumas_cam.F90: line 1126,micron,,,,,,,cosp thing; not in GSL meta file,,,,
pbuf_DEGRAU, Graupel effective diameter for radiation,cam_dev/micro_pumas_cam.F90: line 658,m,X,effective_diameter_of_stratiform_cloud_graupel_particle_for_radiation,,,,,from m_micro.meta: cldeffg [radius],,,,
pbuf_DEI, Mitchell ice effective diameter for radiation,cam_dev/micro_pumas_cam.F90: line 638,micron,X,effective_diameter_of_stratiform_cloud_ice_particle_for_radiation,,,,,from m_micro.meta: cldeffi [radius],,,,
pbuf_DES,Snow effective diameter for radiation,cam_dev/micro_pumas_cam.F90: line 650,micron,X,effective_diameter_of_stratiform_snow_particle _for_radiation,,,,,from m_micro.meta: cldeffs [radius],,,,
pbuf_DGNUM,"unactivated particles, dry",modal_aero_data.F90: line 777,,,,,,,,ask chemists,,,,
pbuf_DGNUMWET,"unactivated particles, wet at grid-cell ambient RH",modal_aero_data.F90: line 779,,,,,,,,ask chemists,,,,
pbuf_DIFZM,Detrained ice water from ZM convection,zm_conv_intr.F90: line 327,kg kg-1 s-1,X,detrainment_of_cloud_ice_due_to_deep_convection,X,,,,,,,,
pbuf_DLFZM,Detrained liquid water from ZM convection,zm_conv_intr.F90: line 328,kg kg-1 s-1,X,detrainment_of_cloud_liquid_due_to_deep_convection,X,,,,,,,,
pbuf_DP_CLDICE, deep gmb cloud ice water,cosp_simulator_intr.F90: line 1432,kg kg-1,X,,,,,,,,,,
pbuf_DP_CLDLIQ,deep gbm cloud liquid water,cosp_simulator_intr.F90: line 1431,kg kg-1,X,,,,,,,,,,
pbuf_DP_FLXPRC,deep interface gbm flux_convective_cloud_rain+snow,cosp_simulator_intr.F90: line 1415,kg m-2 s-1,X,precipitation_mass_flux_at_interface_due_to_deep_convection,X,,"ask NOAA about precipitation = ""all phases of precipitation""",,,,,,
pbuf_DP_FLXSNW,deep interface gbm flux_convective_cloud_snow,cosp_simulator_intr.F90: line1414,kg m-2 s-1,X,frozen_precipitation_mass_flux_at_interface_due_to_deep_convection,X,,,,,,,,
pbuf_DP_FRAC,Deep convective cloud fraction,conv_water.F90: line 219,frac,X,cloud_area_fraction_due_to_deep_convection,X,,,,,,,,
pbuf_DQCORE,Water vapor tendency due to dynamical core,check_energy.F90: line 207,kg kg-1 s-1,X,tendency_of_water_vapor_mixing_ratio_wrt_moist_air_and_condensed_water_due_to_dynamics,X,,CCPP may need to handle varying standard names dependent on host model configuration (i.e. dycore),,,,,,
